WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,ITA,Italy,Domodossola,2018,13.92,20.37,15.57,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Enna,2018,7.93,14.74,3.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Este,2018,18.78,31.99,22.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Faenza,2018,15.08,22.38,16.21,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Falconara Marittima,2018,14.12,24.76,27.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Feltre,2018,18.18,23.4,11.59,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ferrara,2018,16.66,27.84,28.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Firenze,2018,14.38,22.87,39.88,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Foggia,2018,13.37,22.22,22.28,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Foligno,2018,17.97,24.7,33.11,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Fontechiari,2018,11.39,16.59,5.65,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Forli,2018,15.84,24.23,24.52,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Francavilla Al Mare,2018,12.81,19.07,7.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Frosinone,2018,19.31,33.19,34.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gavello,2018,17.31,25.39,15.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Genova,2018,10.35,20.54,39.95,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gherardi,2018,18.39,25.38,12.24,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gorizia,2018,12.9,17.63,22.9,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Grado,2018,12.0,16.78,8.43,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Grosseto,2018,10.13,22.71,18.68,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Grumento Nova,2018,10.66,17.68,3.17,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Gubbio,2018,10.56,17.25,11.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Guidonia,2018,12.75,21.79,28.5,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ivrea,2018,19.17,25.08,21.96,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,L'aquila,2018,11.39,16.77,5.1,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,La Massimina-Casal Lumbroso,2018,13.7,21.57,19.65,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,La Spezia,2018,11.59,19.37,24.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lamezia Terme,2018,8.48,22.22,12.0,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Latina Scalo,2018,12.19,22.27,27.14,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lecce,2018,12.93,22.74,23.05,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lecco,2018,15.48,22.83,21.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Leonessa,2018,9.04,12.36,4.96,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Livorno,2018,11.21,19.43,23.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Locri,2018,11.26,22.31,8.55,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lodi,2018,20.8,34.48,31.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Lucera,2018,10.96,17.7,5.96,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Macerata,2018,9.67,17.46,13.37,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Macomer,2018,6.03,13.14,5.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Maddaloni,2018,13.5,27.14,23.02,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Magione,2018,12.21,19.77,15.8,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mammola,2018,8.67,14.67,1.99,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mantova,2018,21.91,28.61,24.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Martirano Lombardo,2018,15.97,24.0,14.4,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Massa,2018,12.51,20.22,19.25,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Merate,2018,21.88,33.48,37.35,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Milano,2018,22.62,33.45,47.59,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Misterbianco,2018,12.42,23.45,14.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Modena,2018,17.78,30.32,33.11,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Modugno,2018,16.69,24.46,21.57,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Moggio,2018,12.18,15.84,6.02,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Mondovi,2018,17.25,24.93,26.26,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monfalcone,2018,12.81,16.86,15.93,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monopoli,2018,11.7,21.99,19.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monserrato,2018,11.43,27.5,13.5,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Montemonaco,2018,5.8,14.72,4.6,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Montesilvano,2018,16.1,24.61,12.12,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Monza,2018,24.01,31.59,37.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Naples,2018,7.63,16.41,11.15,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Napoli,2018,15.25,29.13,42.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Narni Scalo,2018,21.69,29.71,10.61,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Novara,2018,17.73,25.58,35.1,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Padova,2018,27.1,35.6,34.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Palermo,2018,10.6,28.19,34.51,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pallanza,2018,11.35,15.25,27.59,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Parma,2018,18.8,31.05,28.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pavia,2018,23.32,32.39,31.72,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Perugia,2018,14.1,21.51,22.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pesaro,2018,15.82,26.08,18.67,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pescara,2018,15.73,24.85,13.7,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Piacenza,2018,20.55,28.34,28.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Piano Di Rocchetta,2018,12.3,20.02,5.72,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pisa,2018,16.45,25.85,32.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Poggibonsi,2018,12.2,18.58,16.91,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pomigliano D'arco,2018,18.02,44.63,22.99,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ponti Sul Mincio,2018,22.36,29.37,24.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Pordenone,2018,16.35,22.92,27.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Portici,2018,11.91,33.52,19.49,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Porto Empedocle,2018,15.91,35.15,8.27,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Porto Torres,2018,7.57,17.88,7.22,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Portoscuso,2018,12.09,25.85,5.16,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Prato,2018,16.22,24.41,28.56,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Priolo Gargallo,2018,11.59,23.19,12.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Quiliano,2018,11.87,20.27,16.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ravenna,2018,19.49,26.32,24.54,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Reggio Calabria,2018,10.63,21.14,18.34,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Reggio Emilia,2018,19.59,31.39,28.83,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rieti,2018,13.27,19.23,21.19,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rimini,2018,16.59,26.98,29.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Roma,2018,14.02,25.62,39.05,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rovereto,2018,15.06,19.2,27.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Rovigo,2018,24.66,31.52,25.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Salerno,2018,10.03,20.43,31.24,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,San Giuliano Terme,2018,12.9,21.34,16.81,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,San Rocco,2018,19.14,29.55,16.79,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sannazzaro De' Burgondi,2018,21.29,28.4,22.69,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Saronno,2018,19.19,29.18,32.16,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sarroch,2018,13.88,19.38,10.32,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sassari,2018,5.45,18.63,14.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sassuolo,2018,18.47,26.22,21.9,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Savignano Sul Rubicone,2018,16.77,24.69,19.94,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Savona,2018,14.5,19.16,22.71,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Schio,2018,19.43,24.52,19.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Schivenoglia,2018,21.41,29.59,17.33,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Settimo Torinese,2018,24.13,36.23,33.43,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Seulo,2018,6.65,12.79,0.78,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Simeri Crichi,2018,9.47,17.5,2.68,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Solofra,2018,11.73,21.23,12.0,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Sondrio,2018,18.49,22.32,21.02,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Soresina,2018,26.69,37.38,29.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Spoleto,2018,10.73,17.16,18.58,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Stazione,2018,17.95,24.81,18.22,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Stazione Di Padule,2018,12.0,16.9,9.16,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Taranto,2018,11.88,21.42,16.68,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Teramo,2018,12.76,24.59,12.25,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Terni,2018,21.82,30.61,15.64,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torchiarolo,2018,18.75,28.3,13.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torgiano,2018,11.36,15.74,10.43,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torino,2018,23.05,32.37,43.44,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Torrechiara,2018,13.7,19.97,12.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trento,2018,14.0,21.78,39.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trepuzzi,2018,16.89,23.76,11.03,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviglio,2018,18.36,30.52,33.63,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Treviso,2018,21.2,31.86,29.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trieste,2018,13.23,19.63,25.23,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Trivero,2018,9.99,14.79,10.3,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Udine,2018,16.09,19.56,20.36,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vado Ligure,2018,13.2,22.05,20.95,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Varese,2018,19.19,24.46,29.18,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Venezia,2018,24.74,33.31,29.37,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vercelli,2018,18.23,27.7,23.73,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Verona,2018,20.55,30.62,26.01,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viareggio,2018,13.75,22.55,23.87,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vibo Valentia,2018,8.46,20.89,13.7,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vicenza,2018,23.66,31.45,31.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viggiano,2018,10.33,17.69,5.07,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Vinchio,2018,19.31,25.63,12.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Viterbo,2018,11.75,17.71,22.97,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Zona Industriale San Nicola,2018,10.53,17.0,12.29,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acquapendente,2019,10.08,14.53,5.3,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Acri,2019,12.77,19.84,15.35,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Agip Petroli-Ilva,2019,9.35,16.4,8.75,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Agrigento,2019,8.84,17.72,4.42,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Albenga,2019,12.99,21.59,18.53,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Alessandria,2019,19.92,31.77,28.64,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Allumiere,2019,8.38,13.49,6.09,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Altamura,2019,11.69,19.24,24.2,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Amelia,2019,12.92,17.54,11.04,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Ancona,2019,13.79,22.24,21.89,European Environment Agency (downloaded in 2021)
European Region,ITA,Italy,Andria,2019,12.28,21.8,24.4,European Environment Agency (downloaded in 2021)
